Sensor resistance (ohms) | -0.5 (0) (V) | Output (0) (V) | 0.5 (1) (V) | Output (1) (V)
84 | -0.5 | 0.84 | 0.5 | -0.84
85 | -0.5 | 0.85 | 0.5 | -0.85
86 | -0.5 | 0.86 | 0.5 | -0.86
87 | -0.5 | 0.87 | 0.5 | -0.87
88 | -0.5 | 0.88 | 0.5 | -0.88
89 | -0.5 | 0.89 | 0.5 | -0.89
90 | -0.5 | 0.90 | 0.5 | -0.90
91 | -0.5 | 0.91 | 0.5 | -0.91
92 | -0.5 | 0.92 | 0.5 | -0.92
93 | -0.5 | 0.93 | 0.5 | -0.93
94 | -0.5 | 0.94 | 0.5 | -0.94
95 | -0.5 | 0.95 | 0.5 | -0.95
96 | -0.5 | 0.96 | 0.5 | -0.96
97 | -0.5 | 0.97 | 0.5 | -0.97
98 | -0.5 | 0.98 | 0.5 | -0.98
99 | -0.5 | 0.99 | 0.5 | -0.99
100 | -0.5 | 1.00 | 0.5 | -1.00
101 | -0.5 | 1.01 | 0.5 | -1.01
102 | -0.5 | 1.02 | 0.5 | -1.02
103 | -0.5 | 1.03 | 0.5 | -1.03
104 | -0.5 | 1.04 | 0.5 | -1.04
105 | -0.5 | 1.05 | 0.5 | -1.05
106 | -0.5 | 1.06 | 0.5 | -1.06
107 | -0.5 | 1.07 | 0.5 | -1.07
108 | -0.5 | 1.08 | 0.5 | -1.08
109 | -0.5 | 1.09 | 0.5 | -1.09
110 | -0.5 | 1.10 | 0.5 | -1.10
111 | -0.5 | 1.11 | 0.5 | -1.11
112 | -0.5 | 1.12 | 0.5 | -1.12
113 | -0.5 | 1.13 | 0.5 | -1.13
114 | -0.5 | 1.14 | 0.5 | -1.14
115 | -0.5 | 1.15 | 0.5 | -1.15
116 | -0.5 | 1.16 | 0.5 | -1.16
117 | -0.5 | 1.17 | 0.5 | -1.17
118 | -0.5 | 1.18 | 0.5 | -1.18
119 | -0.5 | 1.19 | 0.5 | -1.19
120 | -0.5 | 1.20 | 0.5 | -1.20
121 | -0.5 | 1.21 | 0.5 | -1.21
122 | -0.5 | 1.22 | 0.5 | -1.22
123 | -0.5 | 1.23 | 0.5 | -1.23
124 | -0.5 | 1.24 | 0.5 | -1.24
125 | -0.5 | 1.25 | 0.5 | -1.25
126 | -0.5 | 1.26 | 0.5 | -1.26
127 | -0.5 | 1.27 | 0.5 | -1.27
128 | -0.5 | 1.28 | 0.5 | -1.28
129 | -0.5 | 1.29 | 0.5 | -1.29
130 | -0.5 | 1.30 | 0.5 | -1.30
131 | -0.5 | 1.31 | 0.5 | -1.31
132 | -0.5 | 1.32 | 0.5 | -1.32
133 | -0.5 | 1.33 | 0.5 | -1.33
134 | -0.5 | 1.34 | 0.5 | -1.34
135 | -0.5 | 1.35 | 0.5 | -1.35
136 | -0.5 | 1.36 | 0.5 | -1.36
137 | -0.5 | 1.37 | 0.5 | -1.37
